name,nationality,positions,overall,pace,shooting,passing,dribbling,defending,physical
Erling Haaland,Norway,ST,91,89,93,66,80,45,88
Rodri,Spain,CDM|CM,90,62,76,88,82,85,82
Kevin De Bruyne,Belgium,CAM|CM,89,71,84,93,87,63,76
Phil Foden,England,CAM|LW,87,80,81,84,89,45,63
Bernardo Silva,Portugal,CAM|RW,87,76,76,85,89,58,60
Ruben Dias,Portugal,CB,88,68,40,68,68,89,84
Josko Gvardiol,Croatia,CB|LB,86,82,52,74,76,84,82
Kyle Walker,England,RB|RWB,83,91,52,66,72,78,80
Jack Grealish,England,LW|CAM,82,78,70,79,87,42,65
Jeremy Doku,Belgium,LW|RW,83,95,68,68,88,32,62
Mateo Kovacic,Croatia,CM|CDM,83,68,66,82,85,70,68
Stefan Ortega,Germany,GK,81,46,18,62,48,18,74
Bukayo Saka,England,RW|RM,88,86,79,82,87,55,68
Martin Odegaard,Norway,CAM|CM,87,72,79,88,88,55,58
Declan Rice,England,CDM|CM,87,72,71,82,79,85,82
William Saliba,France,CB,87,79,38,70,65,87,82
Gabriel Magalhaes,Brazil,CB,86,74,46,62,60,87,87
Gabriel Martinelli,Brazil,LW|ST,84,90,76,68,84,38,66
Kai Havertz,Germany,ST|CAM,84,74,81,76,78,52,76
Ben White,England,RB|CB,83,74,48,74,70,80,71
Leandro Trossard,Belgium,LW|ST,82,76,78,76,82,40,60
Myles Lewis-Skelly,England,LB|CM,76,80,58,74,78,68,62
David Raya,Spain,GK,85,42,20,76,52,20,78
Mohamed Salah,Egypt,RW|ST,89,88,87,81,89,45,75
Virgil van Dijk,Netherlands,CB,89,78,60,71,72,90,86
Alisson Becker,Brazil,GK,89,60,20,68,54,20,80
Dominik Szoboszlai,Hungary,CM|CAM,85,78,79,84,82,62,72
Alexis Mac Allister,Argentina,CM|CAM,85,68,76,85,82,66,66
Trent Alexander-Arnold,England,RB|RWB,86,74,66,90,80,74,68
Ryan Gravenberch,Netherlands,CDM|CM,84,76,66,78,82,74,76
Cody Gakpo,Netherlands,LW|ST,84,82,79,74,82,42,74
Luis Diaz,Colombia,LW,85,89,76,70,86,40,62
Ibrahima Konate,France,CB,84,82,42,64,62,84,85
Andrew Robertson,Scotland,LB|LWB,83,80,52,78,76,78,68
Florian Wirtz,Germany,CAM|LW,87,76,80,87,90,42,60
Cole Palmer,England,CAM|RW,86,78,84,83,87,40,62
Moises Caicedo,Ecuador,CDM,84,78,62,76,78,82,78
Levi Colwill,England,CB|LB,80,76,40,70,68,79,75
Enzo Fernandez,Argentina,CM|CDM,85,68,72,85,80,74,68
Nicolas Jackson,Senegal,ST,79,87,76,62,76,34,70
Reece James,England,RB|RWB,83,80,66,78,78,78,76
Robert Sanchez,Spain,GK,80,44,18,64,46,18,80
Pedro Neto,Portugal,RW|LW,82,88,74,72,85,34,62
Bruno Fernandes,Portugal,CAM|CM,87,68,84,88,84,58,70
Rasmus Hojlund,Denmark,ST,78,84,77,58,72,32,76
Lisandro Martinez,Argentina,CB,82,68,42,68,68,84,74
Kobbie Mainoo,England,CM|CDM,80,70,64,78,80,68,66
Alejandro Garnacho,Argentina,LW|RW,80,90,74,66,84,32,64
Noussair Mazraoui,Morocco,RB|LB,79,78,52,72,72,76,68
Andre Onana,Cameroon,GK,82,50,22,72,58,22,78
Son Heung-min,South Korea,LW|ST,86,85,85,78,85,40,68
James Maddison,England,CAM,83,68,80,84,85,42,58
Dejan Kulusevski,Sweden,RW|CAM,82,78,75,78,82,44,68
Cristian Romero,Argentina,CB,84,74,46,66,66,85,80
Micky van de Ven,Netherlands,CB,81,93,40,66,66,78,74
Pedro Porro,Spain,RB|RWB,81,82,62,76,76,68,68
Guglielmo Vicario,Italy,GK,82,42,18,66,46,18,78
Alexander Isak,Sweden,ST,86,88,86,68,84,34,74
Bruno Guimaraes,Brazil,CM|CDM,85,72,74,84,82,76,74
Anthony Gordon,England,LW,81,88,74,70,82,38,62
Sven Botman,Netherlands,CB,82,70,38,64,60,84,80
Kieran Trippier,England,RB|RWB,81,68,62,84,74,76,66
Nick Pope,England,GK,83,40,18,62,44,18,82
Ollie Watkins,England,ST,84,84,83,68,78,38,74
Morgan Rogers,England,CAM|LW,80,78,74,78,82,42,68
Ezri Konsa,England,CB,81,76,40,66,62,82,76
Emiliano Martinez,Argentina,GK,85,44,18,66,48,18,80
Youri Tielemans,Belgium,CM,81,66,76,82,80,66,66
Kaoru Mitoma,Japan,LW,82,86,74,72,87,36,62
Joao Pedro,Brazil,ST|CAM,80,78,78,72,80,38,68
Lewis Dunk,England,CB,79,62,42,66,58,80,78
Jarrod Bowen,England,RW|ST,82,82,80,72,80,42,68
Mohammed Kudus,Ghana,RW|CAM,81,84,76,74,85,40,68
Lucas Paqueta,Brazil,CAM|CM,81,72,72,82,84,54,62
Eberechi Eze,England,CAM|LW,82,80,78,78,86,42,62
Marc Guehi,England,CB,80,74,38,66,60,81,76
Dominic Calvert-Lewin,England,ST,76,74,76,58,68,32,78
Bryan Mbeumo,Cameroon,RW|ST,82,82,80,74,80,40,70
Morgan Gibbs-White,England,CAM,80,76,72,80,82,44,62
Matheus Cunha,Brazil,ST|CAM,80,78,78,72,80,38,72
Kylian Mbappe,France,ST|LW,91,97,89,80,92,36,76
Jude Bellingham,England,CM|CAM,89,79,84,84,88,68,82
Vinicius Junior,Brazil,LW,89,95,82,76,92,29,66
Federico Valverde,Uruguay,CM|RM,87,84,80,82,83,74,82
Eduardo Camavinga,France,CM|CDM,85,82,68,80,84,76,76
Aurelien Tchouameni,France,CDM|CB,85,70,64,78,76,84,82
Dani Carvajal,Spain,RB,84,76,58,78,76,82,74
Antonio Rudiger,Germany,CB,86,76,48,68,66,87,85
Thibaut Courtois,Belgium,GK,89,46,22,68,52,22,84
Arda Guler,Turkey,CAM|RW,82,76,78,84,87,36,58
Rodrygo,Brazil,RW|LW,85,87,79,74,86,36,62
Endrick,Brazil,ST,78,84,78,62,80,30,68
Dean Huijsen,Spain,CB,80,78,40,68,64,79,78
Lamine Yamal,Spain,RW|LW,87,88,78,82,90,34,58
Pedri,Spain,CM|CAM,87,74,74,88,90,60,58
Raphinha,Brazil,LW|RW,86,85,82,80,86,42,64
Robert Lewandowski,Poland,ST,87,74,89,72,82,40,80
Frenkie de Jong,Netherlands,CM|CDM,85,74,70,85,87,68,68
Pau Cubarsi,Spain,CB,80,72,36,74,68,78,68
Jules Kounde,France,RB|CB,85,84,46,74,74,82,76
Alejandro Balde,Spain,LB|LWB,81,90,52,74,80,68,66
Marc-Andre ter Stegen,Germany,GK,87,44,20,76,54,20,78
Dani Olmo,Spain,CAM|RW,84,76,78,82,84,46,62
Fermin Lopez,Spain,CAM|CM,80,76,74,78,82,48,62
Julian Alvarez,Argentina,ST|CAM,85,80,82,76,84,42,68
Antoine Griezmann,France,CF|CAM,86,72,84,82,85,52,66
Jan Oblak,Slovenia,GK,87,42,20,64,46,20,80
